video_id,first_trending_ts,views_day1,likes_day1,dislikes_day1,comments_day1,likes_ratio,comments_ratio,days_trending(target),category_name_Autos & Vehicles,category_name_Comedy,category_name_Education,category_name_Entertainment,category_name_Film & Animation,category_name_Gaming,category_name_Howto & Style,category_name_Music,category_name_News & Politics,category_name_Nonprofits & Activism,category_name_People & Blogs,category_name_Pets & Animals,category_name_Science & Technology,category_name_Shows,category_name_Sports,category_name_Travel & Events
0ETrC_c14ms,2018-04-15,504790,4733,140,1136,0.9712702647239894,0.0022504407773529,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0EbFotkXOiA,2017-12-15,189762,1784,204,1037,0.89738430583501,0.0054647400427904,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0FBYDz1_EPs,2018-02-22,159410,631,160,190,0.797724399494311,0.00119189511323,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0GKC_nj7B44,2018-04-30,325769,1129,31,159,0.9732758620689655,0.0004880759065472,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0GQmGOju6CE,2018-01-26,475740,44985,370,7444,0.9918421342740602,0.0156472022533316,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0H-JHIGRRNM,2018-03-12,145493,5071,126,708,0.9757552434096596,0.0048662134948073,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0HX039UdGpU,2018-03-15,1671521,48592,3250,3827,0.9373095173797308,0.0022895315105224,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0I9vWjc9nao,2018-02-01,319019,19477,475,1492,0.97619286287089,0.0046768374297455,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0IC3II1i5yM,2017-12-18,35640,806,225,266,0.7817652764306499,0.0074635241301907,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0Juc2cL26mg,2018-01-06,1786869,857,72,165,0.922497308934338,9.234028907547225e-05,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0KEFbtZQdnE,2018-01-12,28124,1078,73,320,0.9365768896611644,0.0113781823353719,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0KFC9dZ7bxU,2017-12-02,121274,3556,1157,876,0.7545088054317844,0.0072233124989692,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0KRpcUAtg00,2018-03-12,604944,35009,374,1837,0.98942995223695,0.0030366447142214,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0MyCrMrkMFo,2017-12-01,99243,9003,174,530,0.9810395554102648,0.005340427032637,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0NWKUHl6JLY,2018-03-23,476387,12807,1599,3905,0.8890045814244065,0.0081971170497935,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0Nip-J6u8C0,2018-01-17,10477,35,14,0,0.7142857142857143,0.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0O2IAz1E9Ts,2017-11-17,334497,12594,622,588,0.9529358353510896,0.0017578632992224,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0PW9MWDWLH8,2017-11-23,98851,8625,39,752,0.9954986149584488,0.0076074091309142,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0PWu3BRxn60,2018-01-08,459102,11972,302,1204,0.9753951442072674,0.0026225109017168,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0PpNlNJ6Nng,2017-11-14,1842393,99086,1339,11800,0.9866666666666668,0.0064047138694078,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0Q0_xFYpYL4,2018-01-17,237993,23612,134,1872,0.9943569443274656,0.0078657775648863,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0QDjTwsEeE0,2018-02-06,134931,6927,179,672,0.9748100197016606,0.0049803232763412,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0QOPb9DlOfY,2018-02-16,36469,1083,38,97,0.9661016949152542,0.0026597932490608,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0Rj7pHC_6jc,2018-01-14,418435,19187,358,3476,0.981683294960348,0.0083071444788318,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0Rt329xQUjM,2017-11-22,183935,7939,113,1001,0.985966219572777,0.0054421398863729,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0TNVthqZ3uc,2018-06-06,584237,52373,312,2753,0.9940780108190188,0.0047121288107394,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0URpDxIjZrQ,2018-05-27,1391851,54147,1516,6256,0.9727646731221816,0.0044947339909228,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0WPYpeJA__U,2017-11-29,35467,227,8,48,0.9659574468085106,0.0013533707389968,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0XARMt12oFk,2017-12-19,939086,4680,1017,3060,0.8214849921011058,0.0032584875080663,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0XtCnGT0B20,2018-02-19,133488,6568,80,515,0.9879663056558364,0.003858024691358,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0XuOkYlUWIs,2018-05-10,4145678,166732,6033,16437,0.9650797325847248,0.0039648520700353,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0YVbVXOjJv4,2018-02-02,206006,1530,69,212,0.9568480300187616,0.0010290962399153,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0aFhzGEBQlk,2018-01-04,111825,6228,180,614,0.9719101123595506,0.0054907221104404,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0b6l7MIaGdA,2017-12-15,326785,7525,688,622,0.9162303664921466,0.001903392138562,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0bSE-rh7jFg,2017-12-15,354787,465,17,68,0.9647302904564315,0.0001916642943512,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0bXCbVGb04A,2018-06-11,2341772,140374,2951,33760,0.9794104308390024,0.0144164333675524,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0bXJGZgR1BU,2018-02-07,79833,1518,53,333,0.9662635264162952,0.0041712073954379,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0cZLo3AAan4,2018-01-30,3014847,42556,2791,0,0.938452378327122,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0dSR-9mtuzk,2017-11-22,59462,3962,26,246,0.993480441323972,0.0041370959604453,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0devsSCkYRY,2017-11-30,1381,35,6,4,0.8536585365853658,0.002896451846488,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0doVNhCyoA4,2017-12-05,21819,164,21,0,0.8864864864864865,0.0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0eOtSEkLVtw,2018-02-16,282934,9779,305,818,0.9697540658468862,0.0028911336212685,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0eUk_VN3e2A,2018-01-18,555758,19252,1234,5853,0.9397637410914772,0.0105315622986983,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0f7CuSU_huU,2018-01-13,6491,15,0,8,1.0,0.0012324757356339,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0fepqIO57f8,2018-05-11,545930,13620,524,2838,0.9629524886877828,0.0051984686681442,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
